,tripletid,stimulus,stim_start,stim_end,utt_start,utt_end,word,utt,abx
0,triplet1,veronique_fr_52,0.489609999999999,0.8380999999999972,0,1.2272099999999995,ZEF,spk01_utt_fr01053,OTH
1,triplet1,maureen_eng_21,0.7981800000000021,1.1487300000000005,0,1.5963700000000003,ZUHF,spk02_utt_en02021,TGT
2,triplet1,jeremy_eng_21,0.4200000000000017,0.8081099999999992,0,1.3100000000000023,ZUHF,spk05_utt_en05021,X
3,triplet2,maureen_eng_46,0.7383200000000016,1.169780000000003,0,1.6063500000000062,VAEB,spk02_utt_en02048,OTH
4,triplet2,veronique_fr_215,0.5088399999999638,0.8379899999999338,0,1.2870700000000284,VAB,spk01_utt_fr01223,TGT
5,triplet2,remi_fr_216,0.44898000000000593,0.9541399999999385,0,1.4566899999999805,VAB,spk03_utt_fr03223,X
6,triplet3,maureen_fr_147,0.9278999999999655,1.5564699999999903,0,2.0253999999999905,SHOES,spk02_utt_fr02147,OTH
7,triplet3,veronique_eng_226,0.5088399999999638,1.027659999999969,0,1.4367300000000114,SHIHS,spk01_utt_en01248,TGT
8,triplet3,jeremy_eng_237,0.3210900000000265,0.7064400000000433,0,1.170000000000016,SHIHS,spk05_utt_en05248,X
9,triplet4,maureen_eng_231,0.7183699999999362,1.177720000000022,0,1.5065799999999854,ZIHSH,spk02_utt_en02233,OTH
10,triplet4,veronique_fr_53,0.567789999999988,0.9229699999999923,0,1.2970499999999987,ZESH,spk01_utt_fr01054,TGT
11,triplet4,remi_fr_53,0.6385499999999951,1.087530000000001,0,1.7560099999999892,ZESH,spk03_utt_fr03054,X
12,triplet5,veronique_fr_6,0.5986399999999996,0.9269899999999982,0,1.3070299999999975,SUG,spk01_utt_fr01006,OTH
13,triplet5,maureen_eng_217,0.7183599999999615,1.07038,0,1.5863899999999376,SIHG,spk02_utt_en02219,TGT
14,triplet5,ewan_eng_220,0.38911000000007334,0.917660000000069,0,1.3469400000000746,SIHG,spk06_utt_en06228,X
15,triplet6,veronique_eng_214,0.6448199999998678,0.9179100000000062,0,1.3868399999998928,VIHK,spk01_utt_en01236,OTH
16,triplet6,maureen_fr_196,0.8680299999999761,1.3768799999999146,0,1.8757400000000644,VOEK,spk02_utt_fr02203,TGT
17,triplet6,remi_fr_190,0.45895000000001573,0.8918400000000588,0,1.7061200000000554,VOEK,spk03_utt_fr03196,X
18,triplet7,veronique_fr_166,0.3450199999999768,0.7901699999999892,0,1.197279999999978,SAF,spk01_utt_fr01170,OTH
19,triplet7,maureen_eng_53,0.7008999999999901,1.1057600000000036,0,1.5165499999999952,SAEF,spk02_utt_en02055,TGT
20,triplet7,jeremy_eng_53,0.44000000000001194,0.8943200000000076,0,1.3300000000000125,SAEF,spk05_utt_en05056,X
