filename,utt,start,end,stimulus,stim_start,stim_end,stim_count
vero_full_fr,JE STOCKE ZUP ICI,0.84059,2.05782,ZUP,1.3195,1.66871,1
vero_full_fr,JE STOCKE ZUT ICI,2.68639,3.95351,ZUT,3.16531,3.58435,2
vero_full_fr,JE STOCKE ZUG ICI,4.7517,6.05873,ZUG,5.34036,5.65964,3
vero_full_fr,JE STOCKE ZUB ICI,6.78707,8.0542,ZUB,7.37574,7.6551,4
vero_full_fr,JE STOCKE ZUD ICI,8.80249,10.18934,ZUD,9.43107,9.77029,5
vero_full_fr,JE STOCKE SUG ICI,10.92766,12.23469,SUG,11.5263,11.86553,6
vero_full_fr,JE STOCKE SUB ICI,12.98299,14.27007,SUB,13.422,13.84104,7
vero_full_fr,JE STOCKE FUP ICI,14.94853,16.2356,FUP,15.42744,15.7966,8
vero_full_fr,JE STOCKE FUB ICI,16.8941,18.28095,FUB,17.54263,17.85193,9
vero_full_fr,JE STOCKE FUD ICI,18.93946,20.3263,FUD,19.578,19.92721,10
vero_full_fr,JE STOCKE SHUP ICI,20.93492,22.43152,SHUP,21.75306,22.07234,11
vero_full_fr,JE STOCKE SHUG ICI,23.02018,24.39705,SHUG,23.6288,24.00794,12
vero_full_fr,JE STOCKE SHUB ICI,24.99569,26.37256,SHUB,25.62426,25.97347,13
vero_full_fr,JE STOCKE VUP ICI,27.21066,28.52766,VUP,27.87914,28.14853,14
vero_full_fr,JE STOCKE VUK ICI,29.19615,30.51315,VUK,29.83469,30.14399,15
vero_full_fr,JE STOCKE VUG ICI,31.28141,32.58844,VUG,31.75034,32.17937,16
vero_full_fr,JE STOCKE VUB ICI,33.23696,34.60385,VUB,33.71587,34.18481,17
vero_full_fr,JE STOCKE VUD ICI,35.32222,36.61927,VUD,35.91088,36.24014,18
vero_full_fr,JE STOCKE ZUZ ICI,37.69683,39.11361,ZUZ,38.27551,38.64467,19
vero_full_fr,JE STOCKE ZUS ICI,39.72222,41.06916,ZUS,40.33084,40.7,20
vero_full_fr,JE STOCKE ZUF ICI,41.62789,43.05465,ZUF,42.27642,42.69546,21
vero_full_fr,JE STOCKE ZUSH ICI,43.67324,45.04014,ZUSH,44.28186,44.62109,22
vero_full_fr,JE STOCKE ZUV ICI,45.34943,46.82608,ZUV,46.09773,46.41701,23
vero_full_fr,JE STOCKE SUZ ICI,47.38481,48.80159,SUZ,47.92358,48.40249,24
vero_full_fr,JE STOCKE SUS ICI,49.4102,50.74717,SUS,49.83923,50.35805,25
vero_full_fr,JE STOCKE SUF ICI,51.28594,52.63288,SUF,51.73492,52.22381,26
vero_full_fr,JE STOCKE SUV ICI,53.28141,54.63832,SUV,53.79025,54.17937,27
vero_full_fr,JE STOCKE FUZ ICI,55.26689,56.64376,FUZ,55.9254,56.25465,28
vero_full_fr,JE STOCKE FUSH ICI,57.31224,58.66916,FUSH,57.90091,58.23016,29
vero_full_fr,JE STOCKE FUV ICI,59.20794,60.58481,FUV,59.83651,60.13583,30
vero_full_fr,JE STOCKE SHUS ICI,61.25329,62.55034,SHUS,61.78209,62.14127,31
vero_full_fr,JE STOCKE SHUV ICI,63.14898,64.51587,SHUV,63.68776,64.15669,32
vero_full_fr,JE STOCKE VUZ ICI,65.27415,66.5712,VUZ,65.71315,66.17211,33
vero_full_fr,JE STOCKE VUS ICI,67.24966,68.52676,VUS,67.68866,68.12766,34
vero_full_fr,JE STOCKE VUF ICI,69.1254,70.46236,VUF,69.61429,70.03333,35
vero_full_fr,JE STOCKE VUSH ICI,71.09093,72.45782,VUSH,71.56984,72.00884,36
vero_full_fr,JE STOCKE VUV ICI,73.05646,74.39342,VUV,73.57528,73.94444,37
vero_full_fr,JE STOCKE ZET ICI,75.67052,77.06735,ZET,76.36893,76.68821,38
vero_full_fr,JE STOCKE ZEB ICI,77.63605,78.94308,ZEB,78.20476,78.51406,39
vero_full_fr,JE STOCKE ZED ICI,79.68141,80.91859,ZED,80.17029,80.6093,40
vero_full_fr,JE STOCKE SED ICI,81.62698,82.93401,SED,82.13583,82.62472,41
vero_full_fr,JE STOCKE SHEP ICI,83.45283,84.80975,SHEP,84.0415,84.38073,42
vero_full_fr,JE STOCKE SHEB ICI,85.45828,86.80522,SHEB,85.90726,86.3263,43
vero_full_fr,JE STOCKE SHED ICI,87.39388,88.74082,SHED,87.93265,88.42154,44
vero_full_fr,JE STOCKE VEP ICI,89.41927,90.67642,VEP,89.96803,90.24739,45
vero_full_fr,JE STOCKE VET ICI,90.67642,92.60204,VET,91.86372,92.12313,46
vero_full_fr,JE STOCKE VEK ICI,93.2805,94.5576,VEK,93.86916,94.2483,47
vero_full_fr,JE STOCKE VEG ICI,95.20612,96.54308,VEG,95.68503,96.1839,48
vero_full_fr,JE STOCKE VEB ICI,97.17166,98.47868,VEB,97.71043,98.00975,49
vero_full_fr,JE STOCKE VED ICI,99.15714,100.47415,VED,99.73583,100.03515,50
vero_full_fr,JE STOCKE ZEZ ICI,101.18254,102.50952,ZEZ,101.75125,102.07052,51
vero_full_fr,JE STOCKE ZES ICI,103.11814,104.49501,ZES,103.83651,104.07596,52
vero_full_fr,JE STOCKE ZEF ICI,105.28322,106.51043,ZEF,105.79206,106.12132,53
vero_full_fr,JE STOCKE ZESH ICI,107.15896,108.45601,ZESH,107.7576,108.09683,54
vero_full_fr,JE STOCKE ZEV ICI,109.06463,110.39161,ZEV,109.70317,109.99252,55
vero_full_fr,JE STOCKE SEF ICI,110.92041,112.24739,SEF,111.50907,111.88821,56
vero_full_fr,JE STOCKE FEZ ICI,112.77619,114.23288,FEZ,113.39478,113.77392,57
vero_full_fr,JE STOCKE FEF ICI,114.85147,116.11859,FEF,115.40023,115.74943,58
vero_full_fr,JE STOCKE FESH ICI,116.72721,118.0941,FESH,117.38571,117.68503,59
vero_full_fr,JE STOCKE SHES ICI,118.72268,120.07959,SHES,119.31134,119.72041,60
vero_full_fr,JE STOCKE SHESH ICI,120.75805,122.03515,SHESH,121.26689,121.65601,61
vero_full_fr,JE STOCKE SHEV ICI,122.68367,124.04059,SHEV,123.19252,123.58163,62
vero_full_fr,JE STOCKE VEZ ICI,124.75896,126.0161,VEZ,125.178,125.5771,63
vero_full_fr,JE STOCKE VES ICI,126.69456,127.97166,VES,127.11361,127.59252,64
vero_full_fr,JE STOCKE VEF ICI,128.58027,129.92721,VEF,129.19887,129.51814,65
vero_full_fr,JE STOCKE VESH ICI,130.56576,131.92268,VESH,131.12449,131.4737,66
vero_full_fr,JE STOCKE VEV ICI,132.50136,133.85828,VEV,132.97029,133.4093,67
vero_full_fr,JE STOCKE ZIT ICI,136.79161,138.00884,ZIT,137.22063,137.67959,68
vero_full_fr,JE STOCKE ZIG ICI,138.60748,139.97438,ZIG,139.15624,139.64512,69
vero_full_fr,JE STOCKE ZIB ICI,140.60295,142.01973,ZIB,141.17166,141.50091,70
vero_full_fr,JE STOCKE ZID ICI,142.58844,143.91542,ZID,143.14717,143.62608,71
vero_full_fr,JE STOCKE SIT ICI,144.55397,145.88095,SIT,145.05283,145.41202,72
vero_full_fr,JE STOCKE SIG ICI,146.52948,147.93628,SIG,147.0483,147.5771,73
