chab ʃ a b
chache ʃ a ʃ
chad ʃ a d
chaffe ʃ a f
chague ʃ a ɡ
chak ʃ a k
chape ʃ a p
chasse ʃ a s
chaub ʃ o b
chauche ʃ o ʃ
chaud ʃ o d
chauffe ʃ o f
chaugue ʃ o ɡ
chauk ʃ o k
chaupe ʃ o p
chausse ʃ o s
chauve ʃ o v
chauz ʃ o z
chave ʃ a v
chaz ʃ a z
cheb ʃ ə b
cheche ʃ ə ʃ
ched ʃ ə d
cheffe ʃ ə f
chegue ʃ ə ɡ
chek ʃ ə k
chenb ʃ ɑ̃ b
chenche ʃ ɑ̃ ʃ
chend ʃ ɑ̃ d
chenffe ʃ ɑ̃ f
chengue ʃ ɑ̃ ɡ
chenk ʃ ɑ̃ k
chenpe ʃ ɑ̃ p
chensse ʃ ɑ̃ s
chenve ʃ ɑ̃ v
chenz ʃ ɑ̃ z
chepe ʃ ə p
chesse ʃ ə s
cheub ʃ ø b
cheuche ʃ ø ʃ
cheud ʃ ø d
cheuffe ʃ ø f
cheugue ʃ ø ɡ
cheuk ʃ ø k
cheupe ʃ ø p
cheusse ʃ ø s
cheuve ʃ ø v
cheuz ʃ ø z
cheve ʃ ə v
chez ʃ ə z
chib ʃ i b
chiche ʃ i ʃ
chid ʃ i d
chiffe ʃ i f
chigue ʃ i ɡ
chik ʃ i k
chinb ʃ ɛ̃ b
chinche ʃ ɛ̃ ʃ
chind ʃ ɛ̃ d
chinffe ʃ ɛ̃ f
chingue ʃ ɛ̃ ɡ
chink ʃ ɛ̃ k
chinpe ʃ ɛ̃ p
chinsse ʃ ɛ̃ s
chinve ʃ ɛ̃ v
chinz ʃ ɛ̃ z
chipe ʃ i p
chisse ʃ i s
chive ʃ i v
chiz ʃ i z
chob ʃ ɔ b
choche ʃ ɔ ʃ
chod ʃ ɔ d
choeb ʃ œ b
choeche ʃ œ ʃ
choed ʃ œ d
choeffe ʃ œ f
choegue ʃ œ ɡ
choek ʃ œ k
choepe ʃ œ p
choesse ʃ œ s
choeve ʃ œ v
choez ʃ œ z
choffe ʃ ɔ f
chogue ʃ ɔ ɡ
chok ʃ ɔ k
chonb ʃ ɔ̃ b
chonche ʃ ɔ̃ ʃ
chond ʃ ɔ̃ d
chonffe ʃ ɔ̃ f
chongue ʃ ɔ̃ ɡ
chonk ʃ ɔ̃ k
chonpe ʃ ɔ̃ p
chonsse ʃ ɔ̃ s
chonve ʃ ɔ̃ v
chonz ʃ ɔ̃ z
chope ʃ ɔ p
