FAAB F AA B
FAAD F AA D
FAAF F AA F
FAAG F AA G
FAAK F AA K
FAAP F AA P
FAAS F AA S
FAASH F AA SH
FAAV F AA V
FAAZ F AA Z
FAB F AE B
FAD F AE D
FAF F AE F
FAG F AE G
FAK F AE K
FAP F AE P
FAS F AE S
FASH F AE SH
FAV F AE V
FAYB F AY B
FAYD F AY D
FAYF F AY F
FAYG F AY G
FAYK F AY K
FAYP F AY P
FAYS F AY S
FAYSH F AY SH
FAYV F AY V
FAYZ F AY Z
FAZ F AE Z
FEB F EH B
FED F EH D
FEEB F IY B
FEED F IY D
FEEF F IY F
FEEG F IY G
FEEK F IY K
FEEP F IY P
FEES F IY S
FEESH F IY SH
FEEV F IY V
FEEZ F IY Z
FEF F EH F
FEG F EH G
FEK F EH K
FEP F EH P
FES F EH S
FESH F EH SH
FEV F EH V
FEYB F EY B
FEYD F EY D
FEYF F EY F
FEYG F EY G
FEYK F EY K
FEYP F EY P
FEYS F EY S
FEYSH F EY SH
FEYV F EY V
FEYZ F EY Z
FEZ F EH Z
FIB F IH B
FID F IH D
FIF F IH F
FIG F IH G
FIK F IH K
FIP F IH P
FIS F IH S
FISH F IH SH
FIV F IH V
FIZ F IH Z
FOB F AO B
FOD F AO D
FOF F AO F
FOG F AO G
FOK F AO K
FOOB F UH B
FOOD F UH D
FOOF F UH F
FOOG F UH G
FOOK F UH K
FOOP F UH P
FOOS F UH S
FOOSH F UH SH
FOOV F UH V
FOOZ F UH Z
FOP F AO P
FOS F AO S
FOSH F AO SH
FOUB F AW B
FOUD F AW D
FOUF F AW F
FOUG F AW G
FOUK F AW K
FOUP F AW P
FOUS F AW S
FOUSH F AW SH
FOUV F AW V
FOUZ F AW Z
FOV F AO V
FOWB F OW B
FOWD F OW D
FOWF F OW F
FOWG F OW G
FOWK F OW K
FOWP F OW P
FOWS F OW S
FOWSH F OW SH
FOWV F OW V
FOWZ F OW Z
FOYB F OY B
FOYD F OY D
FOYF F OY F
FOYG F OY G
FOYK F OY K
FOYP F OY P
FOYS F OY S
FOYSH F OY SH
FOYV F OY V
FOYZ F OY Z
FOZ F AO Z
FUB F AH B
FUD F AH D
FUF F AH F
FUG F AH G
FUK F AH K
FUP F AH P
FUS F AH S
FUSH F AH SH
FUV F AH V
FUWB F UW B
FUWD F UW D
FUWF F UW F
FUWG F UW G
FUWK F UW K
FUWP F UW P
FUWS F UW S
FUWSH F UW SH
FUWV F UW V
FUWZ F UW Z
FUYB F "UW Y" B
FUYD F "UW Y" D
FUYF F "UW Y" F
FUYG F "UW Y" G
FUYK F "UW Y" K
FUYP F "UW Y" P
FUYS F "UW Y" S
FUYSH F "UW Y" SH
FUYV F "UW Y" V
FUYZ F "UW Y" Z
FUZ F AH Z
SAAB S AA B
SAAD S AA D
SAAF S AA F
SAAG S AA G
SAAK S AA K
SAAP S AA P
SAAS S AA S
SAASH S AA SH
SAAV S AA V
SAAZ S AA Z
SAB S AE B
SAD S AE D
SAF S AE F
SAG S AE G
SAK S AE K
SAP S AE P
SAS S AE S
SASH S AE SH
SAV S AE V
SAYB S AY B
SAYD S AY D
SAYF S AY F
SAYG S AY G
SAYK S AY K
SAYP S AY P
SAYS S AY S
SAYSH S AY SH
